Datasets ordered by size. 
---> indicates datasets where the difference between my information gain and the 
original information gain exceeds 1e-4.
Datasets containing NAN were not run.


DATASET_NAME ORIGINAL_IG REPLICATION_IG
Chinatown 1.0 1.0
ItalyPowerDemand 0.7245033479251574 0.7245033479251574
SmoothSubspace 0.4219410501712867 0.4219410501712867
SonyAIBORobotSurface1 0.8812908992306927 0.8812908992306927
SonyAIBORobotSurface2 0.7912004648059177 0.7912004648059177
MoteStrain 0.7582766571931676 0.7582766571931676
TwoLeadECG 0.9986359641585719 0.9986359641585719
ECGFiveDays 0.9656361333706097 0.9656361333706097
CBF 0.9709505944546688 0.9709505944546688
BME 0.9182958340544894 0.9182958340544894
Fungi 1.0000000000000009 1.0000000000000009
UMD 0.8056626811981707 0.8056626811981706
GunPoint 0.7953988829079888 0.7953988829079888
ECG200 0.5078815657557194 0.5078815657557194
==============NAN IN DodgerLoopGame=================
==============NAN IN DodgerLoopWeekend=================
DiatomSizeReduction 0.9886994082884977 0.9886994082884977
Coffee 1.0 1.0
SyntheticControl 0.9182958340544896 0.9182958340544893
MelbournePedestrian 0.48752293051315165 0.48752293051315165
ArrowHead 0.8056626811981706 0.8056626811981706
FreezerSmallTrain 1.0 1.0
FaceFour 0.9949848281859702 0.9949848281859702
Plane 0.9994110647387562 0.9994110647387556
ToeSegmentation1 0.854997400484832 0.854997400484832
Symbols 0.998845535995202 0.998845535995202
Wine 0.6446832708184926 0.6446832708184926
ShapeletSim 1.0 1.0
ToeSegmentation2 0.8430007575148193 0.8430007575148193
BeetleFly 1.0 1.0
BirdChicken 1.0 1.0
GunPointAgeSpan 0.6085013761134832 0.6085013761134832
GunPointMaleVersusFemale 0.8638921781295062 0.8638921781295062
GunPointOldVersusYoung 0.5207469026337865 0.5207469026337865
InsectEPGSmallTrain 0.9975025463691153 0.9975025463691153
MiddlePhalanxTW 0.9282569362901962 0.928256936290196
ProximalPhalanxTW 0.9554229640665407 0.9554229640665405
DistalPhalanxTW 0.9661274298460497 0.9661274298460497
DistalPhalanxOutlineAgeGroup 0.5061508370647845 0.5061508370647845
MiddlePhalanxOutlineAgeGroup 0.5996958701236952 0.599695870123695
ProximalPhalanxOutlineAgeGroup 0.6950383647491134 0.6950383647491134
FacesUCR 0.6947612597544961 0.6947612597544963
Beef 0.7219280948873625 0.7219280948873625
PowerCons 0.6466406649785787 0.6466406649785787
==============NAN IN PickupGestureWiimoteZ=================
MedicalImages 0.33864620999867956 0.3386462099986791
==============NAN IN ShakeGestureWiimoteZ=================
==============NAN IN DodgerLoopDay=================
Lightning7 0.7549748454267243 0.7549748454267242
OliveOil 0.9871377743721863 0.9871377743721863
ProximalPhalanxOutlineCorrect 0.14862516362865918 0.14862516362865924
MiddlePhalanxOutlineCorrect 0.11291957031517014 0.11291957031517019
DistalPhalanxOutlineCorrect 0.20155032539310752 0.2015503253931074
Trace 0.9988455359952019 0.9988455359952019
Meat 0.9182958340544894 0.9182958340544894
SwedishLeaf 0.8416125355851065 0.8416125355851056
Herring 0.21755950464047547 0.21755950464047547
FreezerRegularTrain 1.0 1.0
ECG5000 0.8289665561287154 0.8289665561287154
Car 0.8366407419411672 0.8366407419411672
FaceAll 0.6750952136867567 0.6750952136867567
InsectWingbeatSound 0.8257677433212627 0.8257677433212627
Adiac 0.7699704781298151 0.7699704781298156
InsectEPGRegularTrain 0.9383153522334069 0.9383153522334069
---> Lightning2 0.20414754130229495 0.007118369749138043
Ham 0.2025105541447556 0.2025105541447556
ChlorineConcentration 0.1061207225444667 0.1061207225444667
WordSynonyms 0.5019934221130682 0.5019934221130682
==============NAN IN GesturePebbleZ1=================
PhalangesOutlinesCorrect 0.08418608609891047 0.08418608609891043
==============NAN IN GesturePebbleZ2=================
==============NAN IN GestureMidAirD1=================
==============NAN IN GestureMidAirD2=================
==============NAN IN GestureMidAirD3=================
---> TwoPatterns 0.7426715917638176 0.7369910979249401
Fish 0.6628365682585684 0.6628365682585685
OSULeaf 0.7820802042121027 0.7820802042121028
Mallat 0.9978527766088776 0.9978527766088776
Wafer 0.3260339004606516 0.3260339004606516
FiftyWords 0.68920534543106 0.6892053454310609
CricketX 0.2892005969458933 0.2892005969458933
CricketY 0.5530754856288054 0.5530754856288058
CricketZ 0.3658957392156448 0.3658957392156448
Strawberry 0.5726188127090465 0.5726188127090465
Crop 0.5526223300249651 0.5526223300249651
Yoga 0.11459986224119667 0.11459986224119667
CinCECGTorso 0.843827043514571 0.8438270435145707
---> Rock 1.0 0.5414460711655218
MixedShapesSmallTrain 0.7758434225052082 0.7758434225052082
==============NAN IN AllGestureWiimoteY=================
==============NAN IN AllGestureWiimoteZ=================
==============NAN IN AllGestureWiimoteX=================
---> HouseTwenty 1.0 0.5310044064107189
Earthquakes 0.06519472184161346 0.06519472184161348
---> Computers 0.22997112445180928 0.16775539613030788
WormsTwoClass 0.25340468923069925 0.25340468923069925
UWaveGestureLibraryX 0.5950409474403968 0.5950409474403968
UWaveGestureLibraryY 0.5653136532269019 0.5653136532269017
UWaveGestureLibraryZ 0.5667390805445152 0.5667390805445156
---> ElectricDevices 0.6087889325624327 0.6082579167112945

